object,variable,value,unit,source_page,condition,comparison,uncertainty
LCLS-II specification,pixel_count,1000,pixels,2,,,
LCLS-II specification,delta_E,0.5,eV FWHM,2,below 1 keV,,
LCLS-II specification,pulse_tau,100,µs,2,,<,
previous device,geometry,212 × 106,µm,5,,,
previous device,bar_count,4,count,5,,,
previous device,Tc,76,mK,5,,,
previous device,delta_E,1.02,eV FWHM,5,1.25 keV,,
previous device,C,0.11,pJ/K,5,,,
previous device,Rn,14.5,mΩ,5,,,
previous device,G,130,pW/K,5,at Tc,,
previous device,n,3.52,dimensionless,5,,,
200 µm 4-bar device,geometry,200 × 200,µm,6,,,
200 µm 4-bar device,bar_count,4,count,6,,,
200 µm 4-bar device,Bi_thickness,1.1,µm,6,,,
200 µm 4-bar device,Tc,54.5,mK,6,,,
200 µm 4-bar device,G,61,pW/K,6,,,
200 µm 4-bar device,n,3.55,dimensionless,6,,,
200 µm 4-bar device,C,0.166,pJ/K,6,,,
200 µm 4-bar device,pulse_tau,280,µs,6,10.5% Rn,,
200 µm 4-bar device,critically_damped_tau,87,µs,6,,,
200 µm 4-bar device,alpha_over_noise_factor,81.2,dimensionless,6,9.5% Rn,,
200 µm 4-bar device,delta_E,0.87,eV FWHM,7,1.254 keV,,0.07
200 µm 4-bar device,delta_E,1.29,eV FWHM,7,1.487 keV,,0.05
180 µm 3-bar device,geometry,180 × 180,µm,7,,,
180 µm 3-bar device,bar_count,3,count,7,,,
180 µm 3-bar device,Tc,54.5,mK,10,,,
180 µm 3-bar device,Bi_thickness,1.1,µm,10,,,
180 µm 3-bar device,delta_E,0.75,eV FWHM,7,1.254 keV,,0.07
180 µm 3-bar device,delta_E,0.94,eV FWHM,7,1.487 keV,,0.03
proposed next generation,geometry,220 × 220,µm,8,,,
proposed next generation,Tc,30,mK,8,,,
proposed next generation,predicted_delta_E,0.5,eV FWHM,8,1 keV,,
